class,present,past,participle,conjugation
M,kennen,kannte,gekannt,,
M,nennen,nannte,genannt,,
M,rennen,rannte,gerannt,,
M,senden,sandte,gesandt,,
M,wenden,wandte,gewandt,,
I,sein,war,gewesen,(bin,bist,ist,sein,seid,sein),
I,haben,hatte,gehabt,(habe,hast,hat,haben,habt,haben)
PP,wissen,wusste,gewusst,(wieß,weißt,weiß,wissen,wisst,wissen),
PP,können,konnte,gekonnt,(kann,kannst,kann,können,könnt,können),
PP,dürfen,durfte,gedurft,(darf,darfst,darf,dürfen,dürft,dürfen),
PP,sollen,sollte,gesollt,(soll,sollst,soll,sollen,sollt,sollen),
PP,mögen,mochte,gemocht,(mag,magst,mag,mögen,mögt,mögen),
PP,müssen,musste,gemusst,(muss,musst,muss,müssen,müsst,müssen),
